nn_proj_dataset.year,actual_value_1,predict_value_1,error_percent_1
2019,289000,140594.8989,-51.35124604
2020,315000,150897.5905,-52.09600302
2021,355000,161975.0335,-54.37323
2022,375000,166116.9501,-55.70214663
2023,399000,171945.6869,-56.90584288
2024,429000,177463.1277,-58.63330358
2025,460000,180548.4383,-60.75033949
2026,499000,196643.3674,-60.59251155
2027,543000,201356.3602,-62.91779738
2028,573000,204913.2703,-64.23852176
2029,606000,209784.9231,-65.38202588
2030,639000,214657.3213,-66.40730496
2031,678000,220424.4144,-67.48902443
2032,719000,225128.434,-68.688674
2033,760000,229689.618,-69.77768184
2034,807000,234038.5132,-70.99894508
2035,855000,238121.0707,-72.14958237
2036,908000,242416.3581,-73.30216321
2037,963000,245842.7391,-74.47115898
2038,1026000,249317.3608,-75.7000623
